cost,frequency
0,1
1,2
2,4
3,10
4,24
5,54
6,107
7,212
8,446
9,946
10,1948
11,3938
12,7808
13,15544
14,30821
15,60842
16,119000
17,231844
18,447342
19,859744
20,1637383
21,3098270
22,5802411
23,10783780
24,19826318
25,36142146
26,65135623
27,116238056
28,204900019
29,357071928
30,613926161
31,1042022040
32,1742855397
33,2873077198
34,4660800459
35,7439530828
36,11668443776
37,17976412262
38,27171347953
39,40271406380
40,58469060820
41,83099401368
42,115516106664
43,156935291234
44,208207973510
45,269527755972
46,340163141928
47,418170132006
48,500252508256
49,581813416256
50,657076739307
51,719872287190
52,763865196269
53,784195801886
54,777302007562
55,742946121222
56,683025093505
57,603043436904
58,509897148964
59,412039723036
60,317373604363
61,232306415924
62,161303043901
63,105730020222
64,65450375310
65,37942606582
66,20696691144
67,10460286822
68,4961671731
69,2144789574
70,868923831
71,311901840
72,104859366
73,29592634
74,7766947
75,1508596
76,272198
77,26638
78,3406
79,70
80,17
